,CoinName,0,1,class
3,Bitcoin,-37.04903,4.194322,0
12,BitcoinDark,-32.49308,4.8698654,0
13,PayCoin,-34.134903,7.157941,0
22,ZetaCoin,-36.47842,4.470355,0
37,DevCoin,-35.974564,3.7352252,0
53,IXcoin,-37.127,4.5966644,0
62,MazaCoin,-32.897976,4.3262267,0
66,Namecoin,-37.064857,4.2411475,0
78,SysCoin,-36.469364,4.4554753,0
80,TigerCoin,-36.53107,5.1416383,0
83,TerraCoin,-36.9246,4.962468,0
84,UnbreakableCoin,-36.943436,4.8729453,0
85,Unobtanium,-35.84739,4.4018083,0
95,JouleCoin,-35.998486,4.9157057,0
103,Neutron,-32.37461,4.206691,0
124,SoonCoin,-36.92355,3.9824576,0
130,Anarchists Prime,-36.73804,5.0981464,0
140,Emercoin,-32.532787,4.1249247,0
143,I0coin,-36.21218,5.084557,0
147,EDRCoin,-32.2254,4.4699283,0
150,DubaiCoin,-32.22225,4.544582,0
151,CarpeDiemCoin,-36.000877,3.6684399,0
161,SwingCoin,-32.663048,4.868265,0
167,Revenu,-32.859177,4.7287374,0
168,Clockcoin,-32.799473,4.2140684,0
183,BitTokens,-32.46462,4.8632445,0
184,ZayedCoin,-36.61651,3.8410256,0
191,DollarCoin,-36.68082,3.8405046,0
218,Eurocoin,-32.349678,4.228167,0
235,Internet of People,-32.287125,4.735674,0
264,ProCurrency,-34.140934,7.1717067,0
268,ILCoin,-36.19513,4.115354,0
272,Ultimate Secure Cash,-34.134914,7.157945,0
299,Bitcoin Cash,-37.126713,4.598571,0
324,Theresa May Coin,-32.90209,4.6481934,0
333,Infinity Economics,-34.134617,7.1594186,0
365,UnitedBitcoin,-36.432117,5.150919,0
402,Semux,-34.175976,1.3549184,0
427,BitcoinWSpectrum,-34.134907,7.1579437,0
448,Project Pai,-35.90062,4.206154,0
459,Bitcoin SV,-36.522358,3.8504734,0
481,BLAST,-36.007927,4.924315,0
483,GlobalToken,-35.844692,4.413395,0
493,NeosCoin,-34.1349,7.15794,0
498,IncaKoin,-32.823414,4.084149,0
500,Crown Coin,-35.848732,4.6828866,0
511,OKCash,-32.929127,4.556863,0
522,TigerCash,-34.134907,7.1580315,0
527,ZEPHYR,-34.33228,1.8316797,0
