,CoinName,0,1,class
3,Bitcoin,-25.746038,-16.6491,3
12,BitcoinDark,-28.545126,-14.18671,3
13,PayCoin,-25.398808,-12.641329,3
22,ZetaCoin,-25.26551,-15.560434,3
37,DevCoin,-24.407692,-15.91001,3
53,IXcoin,-25.238523,-16.227585,3
62,MazaCoin,-27.972776,-13.91551,3
66,Namecoin,-25.614576,-15.737948,3
78,SysCoin,-25.18568,-16.191984,3
80,TigerCoin,-25.847807,-16.05427,3
83,TerraCoin,-25.659136,-15.780849,3
84,UnbreakableCoin,-24.94396,-15.639172,3
85,Unobtanium,-24.735521,-16.625189,3
95,JouleCoin,-25.426727,-15.61139,3
103,Neutron,-28.268959,-13.516846,3
124,SoonCoin,-25.122866,-16.857828,3
130,Anarchists Prime,-24.908722,-16.783829,3
140,Emercoin,-28.02878,-13.650555,3
143,I0coin,-25.611937,-16.76604,3
147,EDRCoin,-28.13699,-14.198994,3
150,DubaiCoin,-28.638432,-13.778029,3
151,CarpeDiemCoin,-24.335758,-16.040407,3
161,SwingCoin,-28.644814,-13.797965,3
167,Revenu,-28.324924,-14.26384,3
168,Clockcoin,-28.135433,-14.199521,3
183,BitTokens,-28.660978,-14.020986,3
184,ZayedCoin,-25.267412,-16.86885,3
191,DollarCoin,-25.46295,-16.837873,3
218,Eurocoin,-28.041988,-13.627037,3
235,Internet of People,-28.47463,-14.2305765,3
264,ProCurrency,-25.376328,-12.633851,3
268,ILCoin,-24.665289,-16.370417,3
272,Ultimate Secure Cash,-25.398888,-12.64133,3
299,Bitcoin Cash,-25.868505,-16.416315,3
302,Vechain,-18.318542,-58.901573,3
324,Theresa May Coin,-28.373861,-13.537281,3
333,Infinity Economics,-25.394894,-12.640017,3
365,UnitedBitcoin,-25.848928,-16.056082,3
402,Semux,-21.699541,-15.379987,3
427,BitcoinWSpectrum,-25.398901,-12.641328,3
448,Project Pai,-24.759321,-16.118753,3
459,Bitcoin SV,-24.938618,-15.638866,3
481,BLAST,-24.89814,-15.672002,3
483,GlobalToken,-24.719276,-16.594091,3
493,NeosCoin,-25.398922,-12.641331,3
498,IncaKoin,-27.889954,-13.948864,3
500,Crown Coin,-25.871038,-16.40234,3
511,OKCash,-28.461876,-13.571008,3
522,TigerCash,-25.398596,-12.641249,3
527,ZEPHYR,-22.194147,-15.443516,3
