,CoinName,0,1,class
426,Poseidon Quark,-4.667482,23.066343,1
433,Dystem,-4.6674886,23.066275,1
434,Giant,-3.8840945,23.08732,1
437,Vitae,-4.667488,23.066282,1
439,TPCash,7.8874297,15.140037,1
442,Urals Coin,1.4281391,6.937456,1
445,EUNO,-3.884636,10.645493,1
449,XDNA,3.005675,3.462705,1
452,ThunderStake,7.803004,12.7604475,1
457,Bettex coin,1.4117944,6.9423914,1
460,BitMoney,1.8191218,7.3010573,1
463,HerbCoin,-3.8840938,23.08736,1
469,Oduwa,5.7341533,13.48997,1
471,Galilel,-3.8840945,23.087357,1
473,Crypto Sports,-4.667489,23.066275,1
474,Credit,7.2912464,11.080681,1
477,Nasdacoin,4.669359,14.975276,1
478,Beetle Coin,1.4615462,7.0459485,1
479,Titan Coin,8.521129,19.256317,1
480,Award,-3.227229,11.237233,1
482,Bitcoin Rhodium,15.643316,22.49646,1
484,Insane Coin,-4.4841356,11.097402,1
486,LiteDoge,7.64769,11.574497,1
488,TruckCoin,-3.5637302,11.843301,1
490,OrangeCoin,5.3133755,15.888379,1
492,BitstarCoin,4.981548,14.457937,1
494,HyperCoin,4.632224,12.792766,1
495,PinkCoin,-2.2186718,11.871513,1
497,AudioCoin,8.005164,13.047471,1
499,Piggy Coin,-2.1360672,12.292965,1
501,Genstake,4.6253467,14.828131,1
503,XiaoMiCoin,8.041489,15.222153,1
504,Groestlcoin,10.245454,5.2782,1
505,CapriCoin,-3.2090642,11.688469,1
506, ClubCoin,6.1899858,16.073395,1
514,WhiteCoin,7.4950056,15.630788,1
517,Triangles Coin,14.7457695,22.279331,1
528,Gapcoin,5.917607,16.011074,1
