,CoinName,0,1,class
10,Bitshares,-9.731252,-4.6407576,2
16,Spreadcoin,-5.0486903,0.39391264,2
33,CryptCoin,-4.0232215,0.647832,2
42,Exclusive Coin,-20.07706,1.1766157,2
50,HyperStake,-11.422461,1.5361811,2
60,MintCoin,-14.07947,-0.85105795,2
63,Nautilus Coin,-13.613279,-0.99118936,2
76,SuperCoin,-11.420558,1.5378809,2
86,UroCoin,-4.99466,0.35019636,2
101,StorjCoin,-12.015336,-1.6018543,2
106,RubyCoin,-13.613299,-0.9911462,2
110,Dnotes,-13.95356,-1.5986229,2
116,Ucoin,-11.420526,1.5379095,2
128,MarsCoin ,-4.61794,0.24092694,2
132,BowsCoin,-4.290733,0.3262198,2
136,Diggits,-14.299582,-1.3106236,2
142,MindCoin,-4.261537,0.34195346,2
154,GPU Coin,-14.299938,-1.3082514,2
155,Adzcoin,-4.1920633,1.3799427,2
160,ZeitCoin,-14.35158,-0.5776392,2
163,Nebuchadnezzar,-19.815939,0.8067741,2
165,BolivarCoin,-4.660716,0.7975046,2
172,Let it Ride,-17.59352,-3.8037179,2
177,PizzaCoin,-4.6095576,0.91536444,2
178,Lutetium Coin,-11.422064,1.5362759,2
190,BitCurrency,-14.208297,-1.4805169,2
195,Opair,-19.385052,1.4060656,2
199,CoffeeCoin,-19.746628,1.5486821,2
202,TeamUP,-19.909208,1.4680626,2
206,ARK,-10.390542,-10.013753,2
209,ArtexCoin,-5.333448,0.8116625,2
212,FreeCoin,-19.526043,0.83567256,2
215,Kurrent,-4.543648,1.5444623,2
216,Creatio,-19.385098,1.4061468,2
220,Stakenet,-6.1735682,4.0500026,2
226,PandaCoin,-14.199604,-0.7210953,2
238,PacCoin,-4.2603974,2.042288,2
241,Zilbercoin,-13.638602,-1.492288,2
245,VaultCoin,-4.8526435,1.6234868,2
250,RenosCoin,-13.955354,-1.6035066,2
256,Atmos,-19.47622,0.86927074,2
259,MacronCoin,-19.332668,1.0965054,2
267,GrowthCoin,-14.301577,-1.214604,2
269,Phreak,-19.57133,1.537741,2
274,QTUM,-17.593521,-3.8037183,2
282,DigitalPrice,-4.7730365,1.0476485,2
288,ArcticCoin,-5.2082334,0.5893744,2
289,DAS,-4.0239096,0.65407115,2
296,Signatum,-13.502065,0.8429287,2
297,Onix,-5.06366,1.5572286,2
301,Draftcoin,-13.613722,-0.990606,2
304,Stakecoin,-19.989122,0.9094136,2
313,Obsidian,-9.731117,-4.6407723,2
314,Cardano,-13.876727,-1.0624393,2
318,Elements,-5.3806567,0.9249083,2
331,KekCoin,-14.717762,0.75403935,2
334,Pura,-5.328453,1.240326,2
339,Lamden Tau,-10.390484,-10.013793,2
349,AC3,-4.529804,1.539744,2
356,Sucre,-4.7286234,0.2721005,2
363,Monkey Project,-11.420529,1.537906,2
364,Pioneer Coin,-4.052621,1.1612172,2
367,TokenPay,-17.59352,-3.803718,2
382,Crypto Improvement Fund,-5.323114,1.2576739,2
387,Velox,-13.962756,-1.6029565,2
388,Ontology,-13.682508,-3.0233717,2
397,MedicCoin,-14.303115,-1.2783128,2
399,Bitcoin Green,-12.199791,-0.32617205,2
400,Deviant Coin,-19.33264,1.0970253,2
403,FuturoCoin,-5.0582724,1.5745473,2
405,Zealium,-19.761633,0.7946981,2
413,HollyWoodCoin,-13.606056,-1.4544933,2
419,Xt3ch,-13.613707,-0.99088496,2
428,Muse,-10.674378,-9.826993,2
431,Axe,-3.9927897,0.96882623,2
435,Peony Coin,-13.90239,-0.86765254,2
444,ARENON,-11.420589,1.5378425,2
446,MMOCoin,-13.574245,-1.401502,2
447,Ketan,-19.772402,1.5418833,2
450,PAXEX,-11.420628,1.5377967,2
451,Azart,-4.054125,1.1908643,2
453,Kcash,-9.6699,-4.684143,2
461,Junson Ming Chan Coin,-11.437452,1.5198362,2
464,Universal Molecule,-4.1793237,-6.399931,2
465,Lithium,-4.1793237,-6.399931,2
476,Dash Platinum,-11.420522,1.537913,2
485,ALAX,-10.390317,-10.013905,2
491,BlakeCoin,-4.1794114,-6.3999815,2
507,Radium,-20.060854,1.0294758,2
510,Creditbit ,-5.3500485,5.6088433,2
512,Lisk,-10.390538,-10.013756,2
513,HiCoin,-14.000879,-0.8602732,2
519,EOS,-10.390382,-10.013862,2
521,Oxycoin,-10.390362,-10.013874,2
524,Particl,-20.071894,1.2083902,2
526,Nxt,-20.81203,2.0457516,2
531,BitcoinPlus,-13.5538645,-1.3596048,2
